time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.0,26,2179,2179,24,18,-20,-15,-21
0.00390625,27,2179,2179,24,18,-20,-15,-20
0.0078125,26,2179,2179,24,18,-20,-15,-20
0.01171875,26,2179,2179,24,18,-20,-15,-20
0.015625,26,2179,2179,24,18,-20,-15,-20
0.01953125,26,2179,2179,24,18,-20,-15,-20
0.0234375,26,2179,2179,24,18,-20,-15,-20
0.02734375,26,2179,2179,24,18,-20,-15,-20
0.03125,26,2179,2179,24,18,-20,-15,-20
0.03515625,27,2179,2179,24,18,-20,-15,-20
0.0390625,27,2179,2179,24,18,-20,-15,-20
0.04296875,27,2179,2179,24,18,-20,-15,-20
0.046875,27,2179,2179,24,18,-20,-15,-20
0.05078125,27,2179,2179,24,18,-20,-15,-20
0.0546875,27,2179,2179,24,18,-20,-15,-20
0.05859375,27,2179,2179,24,18,-20,-15,-20
0.0625,27,2179,2179,24,18,-20,-15,-20
0.06640625,27,2179,2179,24,18,-20,-15,-20
0.0703125,27,2179,2179,24,18,-20,-15,-20
0.07421875,27,2179,2179,24,18,-20,-15,-20
0.078125,27,2179,2179,24,18,-20,-15,-20
0.08203125,28,2179,2179,24,18,-20,-15,-20
0.0859375,28,2179,2179,24,18,-20,-15,-20
0.08984375,28,2179,2179,24,18,-20,-15,-20
0.09375,28,2179,2179,23,18,-20,-15,-20
0.09765625,28,2179,2179,25,18,-20,-15,-20
0.1015625,28,2179,2179,25,18,-20,-15,-20
0.10546875,28,2179,2179,24,18,-20,-15,-20
0.109375,28,2179,2179,24,18,-20,-15,-21
0.11328125,28,2179,2179,24,18,-20,-15,-21
0.1171875,28,2179,2179,24,18,-20,-15,-20
0.12109375,28,2179,2179,24,18,-20,-15,-20
0.125,28,2179,2179,24,18,-20,-15,-21
0.12890625,28,2179,2179,24,18,-20,-15,-21
0.1328125,27,2179,2179,24,18,-20,-15,-20
0.13671875,27,2179,2179,24,18,-20,-15,-20
0.140625,27,2179,2179,24,18,-20,-15,-20
0.14453125,27,2179,2179,24,18,-20,-15,-20
0.1484375,26,2179,2179,25,18,-20,-15,-20
0.15234375,27,2179,2179,24,18,-20,-15,-20
0.15625,26,2179,2179,24,18,-20,-15,-20
0.16015625,26,2179,2179,24,18,-20,-15,-20
0.1640625,27,2179,2179,24,18,-20,-15,-20
0.16796875,27,2179,2179,24,18,-20,-15,-20
0.171875,27,2179,2179,24,17,-20,-15,-20
0.17578125,27,2179,2179,24,17,-20,-15,-21
0.1796875,27,2179,2179,24,18,-20,-15,-21
0.18359375,27,2179,2179,24,18,-20,-15,-21
0.1875,28,2179,2179,24,17,-20,-15,-21
0.19140625,28,2179,2179,24,17,-20,-15,-20
0.1953125,28,2179,2179,24,18,-20,-15,-20
0.19921875,27,2179,2179,24,18,-20,-15,-21
0.203125,28,2179,2179,24,17,-20,-15,-21
0.20703125,28,2179,2179,24,18,-20,-15,-21
0.2109375,28,2179,2179,24,17,-20,-15,-21
0.21484375,28,2179,2179,24,18,-20,-15,-21
0.21875,29,2179,2179,24,18,-20,-15,-20
0.22265625,29,2179,2179,24,18,-20,-15,-20
0.2265625,29,2179,2179,24,18,-20,-15,-21
0.23046875,29,2179,2179,25,18,-20,-15,-21
