time_s,respiratory_signal_raw_ch1,time_capnogram_raw_ch4
0.0,26,24
0.00390625,27,24
0.0078125,26,24
0.01171875,26,24
0.015625,26,24
0.01953125,26,24
0.0234375,26,24
0.02734375,26,24
0.03125,26,24
0.03515625,27,24
0.0390625,27,24
0.04296875,27,24
0.046875,27,24
0.05078125,27,24
0.0546875,27,24
0.05859375,27,24
0.0625,27,24
0.06640625,27,24
0.0703125,27,24
0.07421875,27,24
0.078125,27,24
0.08203125,28,24
0.0859375,28,24
0.08984375,28,24
0.09375,28,23
0.09765625,28,25
0.1015625,28,25
0.10546875,28,24
0.109375,28,24
0.11328125,28,24
0.1171875,28,24
0.12109375,28,24
0.125,28,24
0.12890625,28,24
0.1328125,27,24
0.13671875,27,24
0.140625,27,24
0.14453125,27,24
0.1484375,26,25
0.15234375,27,24
0.15625,26,24
0.16015625,26,24
0.1640625,27,24
0.16796875,27,24
0.171875,27,24
0.17578125,27,24
0.1796875,27,24
0.18359375,27,24
0.1875,28,24
0.19140625,28,24
0.1953125,28,24
0.19921875,27,24
0.203125,28,24
0.20703125,28,24
0.2109375,28,24
0.21484375,28,24
0.21875,29,24
0.22265625,29,24
0.2265625,29,24
0.23046875,29,25
0.234375,30,25
0.23828125,30,24
0.2421875,30,24
0.24609375,30,25
0.25,30,25
0.25390625,31,24
0.2578125,31,25
0.26171875,31,25
0.265625,31,25
0.26953125,32,25
0.2734375,32,24
0.27734375,32,25
0.28125,33,25
0.28515625,33,25
0.2890625,33,24
0.29296875,33,24
0.296875,33,24
0.30078125,34,24
0.3046875,34,24
0.30859375,34,24
0.3125,34,24
0.31640625,35,24
0.3203125,35,24
0.32421875,35,24
0.328125,35,24
0.33203125,36,24
0.3359375,36,24
0.33984375,36,24
0.34375,36,23
0.34765625,36,24
0.3515625,36,24
0.35546875,36,24
0.359375,36,24
0.36328125,36,24
0.3671875,37,24
0.37109375,38,24
0.375,39,24
0.37890625,39,24
0.3828125,40,24
0.38671875,41,24
0.390625,42,24
0.39453125,43,25
0.3984375,43,25
0.40234375,44,24
0.40625,45,24
0.41015625,45,24
0.4140625,46,24
0.41796875,47,24
0.421875,48,24
0.42578125,48,24
0.4296875,50,24
0.43359375,50,24
0.4375,51,24
0.44140625,52,24
0.4453125,52,24
0.44921875,52,24
0.453125,53,24
0.45703125,54,24
0.4609375,54,25
0.46484375,55,25
0.46875,56,24
0.47265625,57,24
0.4765625,57,25
0.48046875,58,25
0.484375,58,24
0.48828125,59,24
0.4921875,59,24
0.49609375,59,25
0.5,59,25
0.50390625,60,24
0.5078125,60,24
0.51171875,60,25
0.515625,60,25
0.51953125,60,24
0.5234375,61,24
0.52734375,61,24
0.53125,61,24
0.53515625,61,24
0.5390625,61,24
0.54296875,62,24
0.546875,62,25
0.55078125,62,25
0.5546875,63,24
0.55859375,63,24
0.5625,63,24
0.56640625,63,24
0.5703125,63,24
0.57421875,63,24
0.578125,63,24
0.58203125,63,24
0.5859375,64,24
0.58984375,64,24
0.59375,64,24
0.59765625,64,24
0.6015625,64,24
0.60546875,64,24
0.609375,64,24
0.61328125,64,24
0.6171875,64,24
0.62109375,64,24
0.625,64,24
0.62890625,65,24
0.6328125,65,24
0.63671875,66,24
0.640625,66,24
0.64453125,65,24
0.6484375,65,24
0.65234375,65,24
0.65625,65,24
0.66015625,64,24
0.6640625,64,24
0.66796875,64,25
0.671875,65,24
0.67578125,64,24
0.6796875,65,25
0.68359375,64,25
0.6875,64,25
0.69140625,64,24
0.6953125,64,25
0.69921875,64,25
0.703125,64,25
0.70703125,64,25
0.7109375,64,26
0.71484375,65,26
0.71875,66,25
0.72265625,66,24
0.7265625,66,24
0.73046875,66,24
0.734375,66,24
0.73828125,66,24
0.7421875,66,24
0.74609375,66,24
0.75,66,24
0.75390625,67,24
0.7578125,67,24
0.76171875,67,24
0.765625,67,24
0.76953125,67,24
0.7734375,67,24
0.77734375,67,25
0.78125,68,25
0.78515625,68,26
0.7890625,67,26
0.79296875,67,26
0.796875,67,26
0.80078125,67,27
0.8046875,67,26
0.80859375,68,26
0.8125,68,27
0.81640625,68,27
0.8203125,68,27
0.82421875,69,28
0.828125,69,29
0.83203125,69,30
0.8359375,69,31
0.83984375,68,32
0.84375,68,33
0.84765625,68,34
0.8515625,68,35
0.85546875,69,36
0.859375,69,38
0.86328125,68,39
0.8671875,69,41
0.87109375,68,42
0.875,68,44
0.87890625,68,45
0.8828125,68,47
0.88671875,68,49
0.890625,68,50
0.89453125,67,53
0.8984375,67,54
0.90234375,68,56
0.90625,68,58
0.91015625,68,60
0.9140625,68,62
0.91796875,69,64
0.921875,69,66
0.92578125,69,68
0.9296875,69,70
0.93359375,69,71
0.9375,69,73
0.94140625,69,75
0.9453125,68,77
0.94921875,68,79
0.953125,68,80
0.95703125,68,82
0.9609375,68,84
0.96484375,69,86
0.96875,69,87
0.97265625,69,89
0.9765625,69,91
0.98046875,69,94
0.984375,70,96
0.98828125,70,98
0.9921875,69,100
0.99609375,69,102
1.0,69,104
1.00390625,70,105
1.0078125,69,106
1.01171875,69,107
1.015625,69,108
1.01953125,69,108
1.0234375,68,110
1.02734375,68,112
1.03125,68,113
1.03515625,68,115
1.0390625,68,117
1.04296875,68,119
1.046875,68,122
1.05078125,69,124
1.0546875,69,126
1.05859375,69,127
1.0625,69,129
1.06640625,69,130
1.0703125,70,131
1.07421875,70,132
1.078125,70,134
1.08203125,70,135
1.0859375,71,136
1.08984375,71,137
1.09375,71,138
1.09765625,71,139
1.1015625,71,139
1.10546875,71,140
1.109375,70,140
1.11328125,71,141
1.1171875,71,142
1.12109375,71,142
1.125,71,143
1.12890625,71,144
1.1328125,71,144
1.13671875,71,144
1.140625,71,144
1.14453125,71,144
1.1484375,71,145
1.15234375,71,145
1.15625,72,147
1.16015625,71,148
1.1640625,71,149
1.16796875,71,150
1.171875,72,150
1.17578125,71,151
1.1796875,71,151
1.18359375,71,151
1.1875,72,151
1.19140625,72,150
1.1953125,71,151
1.19921875,71,151
1.203125,71,151
1.20703125,71,152
1.2109375,71,152
1.21484375,71,152
1.21875,71,152
1.22265625,71,152
1.2265625,71,153
1.23046875,71,154
1.234375,71,155
1.23828125,71,155
1.2421875,71,155
1.24609375,70,156
1.25,70,156
1.25390625,70,155
1.2578125,70,155
1.26171875,70,155
1.265625,70,155
1.26953125,71,154
1.2734375,71,154
1.27734375,71,155
1.28125,71,156
1.28515625,72,156
1.2890625,71,156
1.29296875,71,156
1.296875,71,157
1.30078125,72,157
1.3046875,72,157
1.30859375,71,157
1.3125,71,157
1.31640625,71,157
1.3203125,72,156
1.32421875,72,156
1.328125,72,157
1.33203125,72,157
1.3359375,72,157
1.33984375,72,157
1.34375,71,157
1.34765625,71,158
1.3515625,71,158
1.35546875,71,157
1.359375,71,157
1.36328125,71,158
1.3671875,71,159
1.37109375,71,158
1.375,71,159
1.37890625,70,159
1.3828125,70,159
1.38671875,70,159
1.390625,70,159
1.39453125,70,159
1.3984375,70,159
1.40234375,71,159
1.40625,71,160
1.41015625,71,160
1.4140625,71,161
1.41796875,71,161
1.421875,71,161
1.42578125,70,161
1.4296875,70,161
1.43359375,70,161
1.4375,70,160
1.44140625,70,160
1.4453125,70,161
1.44921875,70,161
1.453125,70,160
1.45703125,70,161
1.4609375,70,161
1.46484375,69,161
1.46875,69,161
1.47265625,69,160
1.4765625,68,161
1.48046875,68,161
1.484375,68,161
1.48828125,68,161
1.4921875,68,161
1.49609375,68,161
1.5,69,161
1.50390625,69,161
1.5078125,70,162
1.51171875,69,162
1.515625,69,163
1.51953125,69,162
1.5234375,69,162
1.52734375,68,162
1.53125,68,161
1.53515625,68,161
1.5390625,68,161
1.54296875,68,161
1.546875,68,162
1.55078125,68,162
1.5546875,68,162
1.55859375,69,162
1.5625,68,162
1.56640625,68,162
1.5703125,68,162
1.57421875,68,162
1.578125,67,162
1.58203125,67,162
1.5859375,68,162
1.58984375,68,162
1.59375,68,163
1.59765625,68,163
1.6015625,68,163
1.60546875,69,163
1.609375,68,163
1.61328125,68,163
1.6171875,68,164
1.62109375,68,163
1.625,68,164
1.62890625,67,164
1.6328125,67,164
1.63671875,67,165
1.640625,67,165
1.64453125,67,165
1.6484375,67,165
1.65234375,67,165
1.65625,67,165
1.66015625,66,165
1.6640625,66,165
1.66796875,66,165
1.671875,66,165
1.67578125,66,165
1.6796875,66,165
1.68359375,66,165
1.6875,66,165
1.69140625,66,164
1.6953125,65,165
1.69921875,65,165
1.703125,65,164
1.70703125,65,165
1.7109375,65,165
1.71484375,65,165
1.71875,65,165
1.72265625,65,164
1.7265625,65,165
1.73046875,65,165
1.734375,65,165
1.73828125,65,166
1.7421875,65,166
1.74609375,65,166
1.75,65,166
1.75390625,65,166
1.7578125,65,166
1.76171875,65,167
1.765625,65,167
1.76953125,65,167
1.7734375,65,167
1.77734375,64,167
1.78125,64,167
1.78515625,64,167
1.7890625,64,166
1.79296875,64,166
1.796875,63,167
1.80078125,63,167
1.8046875,63,167
1.80859375,63,167
1.8125,63,168
1.81640625,63,168
1.8203125,63,167
1.82421875,63,167
1.828125,63,167
1.83203125,63,167
1.8359375,63,167
1.83984375,63,168
1.84375,63,168
1.84765625,63,169
1.8515625,63,169
1.85546875,63,169
1.859375,63,169
1.86328125,63,168
1.8671875,63,168
1.87109375,63,168
1.875,63,167
1.87890625,63,167
1.8828125,63,168
1.88671875,63,168
1.890625,63,168
1.89453125,62,169
1.8984375,62,170
1.90234375,62,170
1.90625,61,170
1.91015625,60,170
1.9140625,60,170
1.91796875,60,170
1.921875,60,169
