time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,53,2179,2179,16,3,-28,-24,-20
0.003906,52,2179,2179,16,3,-27,-24,-20
0.007812,53,2179,2179,16,2,-28,-24,-20
0.011719,53,2179,2179,16,3,-28,-24,-20
0.015625,53,2179,2179,16,3,-28,-24,-20
0.019531,52,2179,2179,16,4,-28,-24,-20
0.023438,53,2179,2179,16,4,-28,-24,-20
0.027344,53,2179,2179,16,3,-28,-24,-20
0.031250,53,2179,2179,16,3,-28,-24,-20
0.035156,52,2179,2179,16,4,-28,-24,-20
0.039062,52,2179,2179,16,4,-27,-24,-20
0.042969,52,2179,2179,16,3,-28,-24,-20
0.046875,52,2179,2179,16,3,-27,-24,-20
0.050781,52,2179,2179,16,3,-27,-24,-20
0.054688,52,2179,2179,16,4,-27,-24,-20
0.058594,52,2179,2179,16,3,-27,-24,-20
0.062500,52,2179,2179,16,3,-27,-24,-20
0.066406,52,2179,2179,16,4,-27,-23,-20
0.070312,52,2179,2179,16,4,-27,-24,-20
0.074219,52,2179,2179,16,4,-27,-24,-20
0.078125,52,2179,2179,16,3,-27,-23,-20
0.082031,52,2179,2179,16,3,-27,-23,-20
0.085938,52,2179,2179,17,3,-27,-23,-20
0.089844,52,2179,2179,17,3,-27,-24,-20
0.093750,52,2179,2179,17,3,-27,-24,-20
0.097656,52,2179,2179,17,3,-27,-24,-20
0.101562,52,2179,2179,18,3,-27,-24,-20
0.105469,53,2179,2179,18,3,-27,-24,-20
0.109375,53,2179,2179,18,2,-28,-24,-20
0.113281,53,2179,2179,18,2,-28,-24,-20
0.117188,53,2179,2179,19,3,-27,-24,-20
0.121094,53,2179,2179,20,3,-27,-24,-20
0.125000,53,2179,2179,20,3,-27,-24,-20
0.128906,52,2179,2179,21,2,-27,-24,-20
0.132812,52,2179,2179,22,2,-28,-24,-20
0.136719,52,2179,2179,23,3,-28,-24,-20
0.140625,53,2179,2179,23,3,-27,-24,-20
0.144531,53,2179,2179,24,3,-28,-24,-20
0.148438,52,2179,2179,25,3,-27,-24,-20
0.152344,52,2179,2179,25,3,-27,-24,-20
0.156250,53,2179,2179,26,3,-27,-24,-20
0.160156,53,2179,2179,26,3,-27,-24,-20
0.164062,52,2179,2179,27,3,-27,-24,-20
0.167969,53,2179,2179,29,3,-27,-23,-20
0.171875,53,2179,2179,30,3,-27,-24,-20
0.175781,53,2179,2179,32,3,-27,-24,-20
0.179688,53,2179,2179,34,3,-27,-24,-20
0.183594,53,2179,2179,36,3,-27,-24,-20
0.187500,53,2179,2179,38,3,-27,-24,-20
0.191406,54,2179,2179,38,3,-27,-24,-20
0.195312,54,2179,2179,39,3,-27,-24,-20
0.199219,53,2179,2179,40,3,-27,-24,-20
0.203125,53,2179,2179,40,4,-27,-23,-20
0.207031,54,2179,2179,41,4,-27,-24,-20
0.210938,54,2179,2179,42,3,-27,-24,-20
0.214844,54,2179,2179,44,3,-27,-23,-20
0.218750,54,2179,2179,46,4,-27,-23,-20
0.222656,54,2179,2179,48,3,-27,-23,-20
0.226562,55,2179,2179,49,3,-27,-23,-20
0.230469,55,2179,2179,51,3,-28,-24,-20
0.234375,54,2179,2179,53,4,-27,-24,-20
0.238281,54,2179,2179,54,4,-27,-24,-20
0.242188,54,2179,2179,55,3,-27,-24,-20
0.246094,54,2179,2179,56,3,-28,-24,-20
0.250000,54,2179,2179,57,4,-28,-24,-20
0.253906,54,2179,2179,58,4,-27,-24,-20
0.257812,54,2179,2179,59,3,-27,-24,-20
0.261719,54,2179,2179,61,3,-27,-24,-20
0.265625,54,2179,2179,64,3,-27,-24,-20
0.269531,54,2179,2179,66,3,-27,-23,-20
0.273438,54,2179,2179,68,3,-27,-23,-20
0.277344,55,2179,2179,69,3,-27,-24,-20
0.281250,54,2179,2179,71,3,-27,-23,-20
0.285156,54,2179,2179,72,3,-27,-24,-20
0.289062,55,2179,2179,73,3,-28,-24,-20
0.292969,55,2179,2179,74,3,-27,-24,-21
0.296875,55,2179,2179,75,3,-28,-24,-21
0.300781,55,2179,2179,77,3,-28,-24,-20
0.304688,55,2179,2179,79,3,-28,-24,-21
0.308594,56,2179,2179,81,3,-28,-24,-21
